outcome,bm25_mean,bm25_median,bm25_std,cma_mean,cma_median,cma_std,control_mean,control_median,control_std,gdt_mean,gdt_median,gdt_std,bm25_pct_change_mean,cma_pct_change_mean,gdt_pct_change_mean,gdt_vs_bm25_p,gdt_vs_bm25_d,gdt_vs_cma_p,gdt_vs_cma_d,control_vs_gdt_p,control_vs_gdt_d
time_to_info,77.335,70.98,47.964,67.163,61.305,42.871,76.759,70.45,47.167,58.603,57.845,29.478,0.75,-12.5,-23.65,0.0,-0.606,0.0,-0.332,0.0,-0.647
accuracy,0.94,1.0,0.238,0.944,1.0,0.23,0.944,1.0,0.23,0.995,1.0,0.073,-0.46,0.0,5.37,0.0,0.23,0.0,0.231,0.0,
cognitive_load,50.327,49.68,8.818,41.655,41.085,8.526,50.289,49.66,8.699,37.79,37.6,6.755,0.08,-17.17,-24.85,0.0,-2.701,0.0,-0.834,0.0,-2.874
latency_ms,189.81,189.56,12.758,146.048,145.68,9.791,189.388,188.66,12.635,128.438,128.34,8.868,0.22,-22.88,-32.18,0.0,-3.942,0.0,-1.338,0.0,-3.933
n_queries_issued,3.017,3.0,1.434,3.017,3.0,1.434,3.017,3.0,1.434,3.017,3.0,1.434,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
