outcome,bm25_mean,bm25_median,bm25_std,cma_mean,cma_median,cma_std,control_mean,control_median,control_std,gdt_mean,gdt_median,gdt_std,bm25_pct_change_mean,cma_pct_change_mean,gdt_pct_change_mean,gdt_vs_bm25_p,gdt_vs_bm25_d,gdt_vs_cma_p,gdt_vs_cma_d,control_vs_gdt_p,control_vs_gdt_d
time_to_info,69.277,69.13,40.975,51.055,42.28,27.394,58.471,52.685,31.343,48.979,43.23,26.31,18.48,-12.68,-16.23,0.0,-0.638,0.0066,-0.482,0.0,-1.502
accuracy,0.9,1.0,0.305,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-10.0,0.0,0.0,0.325,0.328,1.0,0.0,1.0,
cognitive_load,48.819,49.81,8.198,38.342,37.255,6.437,46.516,46.375,7.045,35.509,34.59,6.103,4.95,-17.57,-23.66,0.0,-2.433,0.0,-1.104,0.0,-4.926
latency_ms,189.995,188.88,10.601,143.83,142.205,10.26,184.683,185.6,14.562,127.189,128.2,6.95,2.88,-22.12,-31.13,0.0,-4.958,0.0,-1.319,0.0,-3.581
n_queries_issued,2.533,2.0,1.358,2.533,2.0,1.358,2.533,2.0,1.358,2.533,2.0,1.358,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
