outcome,bm25_mean,bm25_median,bm25_std,cma_mean,cma_median,cma_std,control_mean,control_median,control_std,pct_change_mean,bm25_pct_change_mean,pvalue_wilcoxon,cohens_d
time_to_info,96.372,92.45,29.293,84.674,80.735,28.522,97.586,92.91,32.451,-13.23,-1.24,0.0,-1.049
accuracy,0.966,1.0,0.181,0.962,1.0,0.191,0.96,1.0,0.196,0.21,0.63,0.7237,
cognitive_load,54.855,54.465,5.41,45.776,45.13,5.644,55.045,54.825,5.444,-16.84,-0.34,0.0,-3.023
latency_ms,189.241,188.95,9.599,146.445,146.035,7.514,189.905,189.645,9.719,-22.89,-0.35,0.0,-3.655
n_queries_issued,3.987,4.0,0.815,3.987,4.0,0.815,3.987,4.0,0.815,0.0,0.0,1.0,0.0
