outcome,biencoder_mean,biencoder_median,biencoder_std,bm25_mean,bm25_median,bm25_std,cma_mean,cma_median,cma_std,control_mean,control_median,control_std,gdt_mean,gdt_median,gdt_std,bm25_pct_change_mean,cma_pct_change_mean,biencoder_pct_change_mean,gdt_pct_change_mean,gdt_vs_bm25_p,gdt_vs_bm25_d,gdt_vs_cma_p,gdt_vs_cma_d,gdt_vs_biencoder_p,gdt_vs_biencoder_d,control_vs_gdt_p,control_vs_gdt_d
time_to_info,175.516,176.575,120.376,164.051,192.295,124.728,141.222,161.895,115.635,148.67,172.1,117.647,130.08,113.415,112.381,10.35,-5.01,18.06,-12.5,0.002,-0.881,0.375,-0.245,0.0371,-0.635,0.0645,-0.363
accuracy,0.3,0.0,0.483,0.4,0.0,0.516,0.4,0.0,0.516,0.4,0.0,0.516,0.5,0.5,0.527,0.0,0.0,-25.0,25.0,1.0,0.316,1.0,0.316,0.5,0.474,1.0,
cognitive_load,59.895,67.455,15.681,58.64,70.45,17.193,52.723,58.475,17.763,56.869,65.09,16.003,48.584,47.44,19.993,3.11,-7.29,5.32,-14.57,0.002,-1.202,0.0645,-0.528,0.0137,-0.874,0.0195,-0.911
latency_ms,186.838,184.685,15.183,189.058,187.01,11.32,144.061,146.125,7.302,183.998,185.035,13.677,127.474,128.65,8.045,2.75,-21.71,1.54,-30.72,0.002,-4.404,0.0039,-1.589,0.002,-2.732,0.002,-4.548
n_queries_issued,2.6,2.5,1.647,2.6,2.5,1.647,2.6,2.5,1.647,2.6,2.5,1.647,2.6,2.5,1.647,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
