outcome,bm25_mean,bm25_median,bm25_std,cma_mean,cma_median,cma_std,control_mean,control_median,control_std,gdt_mean,gdt_median,gdt_std,bm25_pct_change_mean,cma_pct_change_mean,gdt_pct_change_mean,gdt_vs_bm25_p,gdt_vs_bm25_d,gdt_vs_cma_p,gdt_vs_cma_d,control_vs_gdt_p,control_vs_gdt_d
time_to_info,77.226,70.95,48.03,66.495,61.035,42.18,76.054,70.3,46.495,58.382,57.695,29.614,1.54,-12.57,-23.24,0.0,-0.604,0.0,-0.325,0.0,-0.65
accuracy,0.938,1.0,0.241,0.947,1.0,0.223,0.947,1.0,0.223,0.994,1.0,0.075,-1.01,0.0,4.94,0.0,0.232,0.0,0.22,0.0,
cognitive_load,50.288,49.78,8.816,41.525,40.92,8.439,50.163,49.585,8.635,37.737,37.53,6.785,0.25,-17.22,-24.77,0.0,-2.662,0.0,-0.836,0.0,-2.91
latency_ms,189.824,189.52,12.729,146.084,145.7,9.791,189.365,188.705,12.696,128.413,128.325,8.814,0.24,-22.86,-32.19,0.0,-3.962,0.0,-1.344,0.0,-3.946
n_queries_issued,3.004,3.0,1.437,3.004,3.0,1.437,3.004,3.0,1.437,3.004,3.0,1.437,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
