outcome,bm25_mean,bm25_median,bm25_std,cma_mean,cma_median,cma_std,control_mean,control_median,control_std,gdt_mean,gdt_median,gdt_std,bm25_pct_change_mean,cma_pct_change_mean,gdt_pct_change_mean,gdt_vs_bm25_p,gdt_vs_bm25_d,gdt_vs_cma_p,gdt_vs_cma_d,control_vs_gdt_p,control_vs_gdt_d
time_to_info,76.934,70.98,49.397,61.351,59.53,35.306,70.764,69.655,39.948,57.104,56.835,31.156,8.72,-13.3,-19.3,0.0,-0.583,0.0,-0.267,0.0,-0.795
accuracy,0.923,1.0,0.267,0.977,1.0,0.151,0.977,1.0,0.151,0.99,1.0,0.1,-5.46,0.0,1.37,0.0326,0.242,0.6512,0.095,0.2207,
cognitive_load,50.045,50.16,8.86,40.541,39.825,7.594,49.267,49.365,8.006,37.427,37.035,7.115,1.58,-17.71,-24.03,0.0,-2.359,0.0,-0.911,0.0,-3.387
latency_ms,189.954,189.165,12.669,146.672,146.345,9.727,189.599,189.78,13.058,128.282,128.14,8.443,0.19,-22.64,-32.34,0.0,-4.079,0.0,-1.408,0.0,-4.122
n_queries_issued,2.917,3.0,1.46,2.917,3.0,1.46,2.917,3.0,1.46,2.917,3.0,1.46,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
